movie_id,title,genres,tmdb_id,overview,poster_path,release_date,runtime,budget,revenue,keywords,cast,director
11,Seven,Crime|Thriller,475009,Seven short stories.,,1996-05-01,18,0,0,[],[],Shona Auerbach
12,The Usual Suspects,Crime|Thriller,629,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg,1995-07-19,106,6000000,23300000,"['new york city', 'robbery', 'affectation', 'relatives', 'heist', 'flashback', 'police corruption', 'whodunit', 'los angeles, california', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'shocking', 'neo-noir', 'mystery villain', 'suspenseful', 'incredulous']","['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro', 'Kevin Pollak', 'Kevin Spacey']",Bryan Singer
13,Mighty Aphrodite,Comedy,11448,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,1995-09-13,95,15000000,6700000,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'illegal prostitution', 'child']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington']",Woody Allen
14,The Postman,Drama|Romance,11010,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,1994-04-07,109,3000000,33000000,"['island', 'fisherman', 'letter', 'postman', 'poet', 'naples, italy', 'love', 'poverty']","['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta', 'Renato Scarpa', 'Linda Moretti']",Michael Radford
15,Mr. Holland's Opus,Drama,2054,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1995-12-29,143,31000000,106300000,"['high school', 'husband wife relationship', 'composer', 'music teacher', 'mentor', 'deaf-mute', 'portland, oregon', 'apprentice', 'marching band', 'teacher student relationship', 'high school teacher', 'disabled', 'teaching', 'sign languages', 'father son relationship']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy']",Stephen Herek
16,French Twist,Comedy|Romance,4482,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,1995-01-18,95,0,0,"['estate agent', 'van', 'love triangle', 'southern france', 'menage a trois', 'polyamory', 'woman director']","['Victoria Abril', 'Josiane Balasko', 'Alain Chabat', 'Ticky Holgado', 'Catherine Hiegel']",Josiane Balasko
17,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller,755,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,108,19000000,25800000,"['dancing', 'showdown', 'sheriff', 'sibling relationship', 'vampire', 'bank robber', 'holy water', 'siege', 'stripper', 'priest', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'mexican american border', 'female stripping', 'boa constrictor', 'loss of faith', 'foot fetish', 'killer on the run', 'barefoot', 'witty']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",Robert Rodriguez
18,The White Balloon,Drama,46785,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w500/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,1995-02-02,85,0,0,"['fish', 'money', 'celebration', 'goldfish']","['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadr Orafaee', 'Anna Borkowska', 'Mohammad Shahani']",Jafar Panahi
19,Antonia's Line,Drama,880,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,1995-09-21,102,900000,0,"['underdog', 'mentally disabled', 'suicide', 'right and justice', 'rape', 'free love', 'parent child relationship', 'loss of loved one', 'village life', 'philosophy', 'widow', 'freedom', 'peasant', 'village', 'world war ii', 'mathematics', 'feminism', 'indian summer ', 'family history', 'single', 'male homosexuality', 'domestic violence', 'university', 'woman director']","['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Carolien Spoor']",Marleen Gorris
20,Angels and Insects,Drama|Romance,8447,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,1995-09-10,118,0,0,"['class society', 'insect', 'rich woman poor man', 'victorian england', 'scientist', 'incest', 'based on short story', 'naturalist']","['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp', 'Douglas Henshall']",Philip Haas
21,Muppet Treasure Island,Action|Adventure|Comedy|Musical|Thriller,10874,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",https://image.tmdb.org/t/p/w500/gX2TAgjGvk2LJk4Awu0LM7UScfQ.jpg,1996-02-16,100,31000000,34300000,"['island', 'pirate gang', 'puppet', 'treasure hunt', 'puppetry', 'duringcreditsstinger', 'teleñecos', 'isla', 'tesoro']","['Tim Curry', 'Billy Connolly', 'Jennifer Saunders', 'Kevin Bishop', 'Dave Goelz']",Brian Henson
22,Braveheart,Action|Drama|War,197,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,177,72000000,213200000,"['epic', 'england', 'scotland', 'loss of loved one', 'idealism', 'based on true story', 'medieval', 'war', 'romantic', 'melodramatic']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",Mel Gibson
23,Taxi Driver,Drama|Thriller,103,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,114,1900000,28579636,"['drug dealer', 'vietnam veteran', 'new york city', 'taxi', 'pornography', 'obsession', 'taxi driver', 'pimp', 'firearm', 'politician', 'alienation', 'junk food', 'misanthrophy', 'vigilante', 'illegal prostitution', 'character study', 'loner', 'manhattan, new york city', 'neo-noir', 'child prostitution', 'new hollywood', 'drives']","['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Harvey Keitel', 'Peter Boyle']",Martin Scorsese
24,Rumble in the Bronx,Action|Adventure|Crime,33542,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,1995-01-21,104,7500000,32400000,"['new york city', 'martial arts', 'supermarket', 'diamond', 'gang war', 'disabled child', 'revenge', 'vigilante', 'organized crime', 'gang', 'fish out of water', 'wedding', 'urban setting', 'street life', 'bronx, new york city', 'duringcreditsstinger', 'frantic', 'action hero']","['Jackie Chan', 'Anita Mui Yim-Fong', 'Françoise Yip', 'Bill Tung', 'Marc Akerstream']",Stanley Tong
25,The Birdcage,Comedy,11000,"Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",https://image.tmdb.org/t/p/w500/4IpC35BoA5aRO0Q1DpFGJ8iKKYq.jpg,1996-03-08,119,31000000,185300000,"['coming out', 'florida', 'homophobia', 'drag queen', 'nightclub', 'senator', 'politician', 'based on play or musical', 'remake', 'conservative', 'cross dressing', 'gay parent', 'lgbt', 'political conflict', 'south beach', 'playing straight', 'drag club']","['Robin Williams', 'Gene Hackman', 'Nathan Lane', 'Dan Futterman', 'Dianne Wiest']",Mike Nichols
26,The Brothers McMullen,Comedy,16388,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",https://image.tmdb.org/t/p/w500/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,1995-08-09,98,0,0,"['love', 'best friend', 'true love', 'irish catholic']","['Shari Albert', 'Maxine Bahns', 'Catharine Bolz', 'Connie Britton', 'Edward Burns']",Edward Burns
27,Bad Boys,Action,9737,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",https://image.tmdb.org/t/p/w500/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,1995-04-07,119,19000000,141407024,"['miami, florida', 'mexican standoff', 'male friendship', 'witness protection', 'stripper', 'car crash', 'strip club', 'internal affairs', 'police corruption', 'gunfight', 'foot chase', 'drug lord', 'murder investigation', 'nostalgic', 'hangar', 'loose cannon', 'buddy cop', 'male camaraderie', 'narcotics detective', 'action hero', 'buddy movie', 'murder witness', 'buddy detective duo', 'stolen drugs']","['Will Smith', 'Martin Lawrence', 'Téa Leoni', 'Tchéky Karyo', 'Joe Pantoliano']",Michael Bay
28,Apollo 13,Action|Drama|Thriller,568,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",https://image.tmdb.org/t/p/w500/kzj95o9FlVxKziQq36mjES3wxel.jpg,1995-06-30,140,52000000,355237933,"['rescue', 'florida', 'race against time', 'moon', 'nasa', 'spaceman', 'based on true story', 'houston', 'survival', 'space', 'disaster', 'explosion', 'astronaut', 'hypothermia', 'apollo program', 'lunar mission', 'spacecraft accident']","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise', 'Ed Harris']",Ron Howard
29,Batman Forever,Action|Adventure|Comedy|Crime,414,Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,https://image.tmdb.org/t/p/w500/mzzNBVwTiiY94xAXDMWJpNPW2US.jpg,1995-06-16,121,100000000,336529144,"['riddle', 'superhero', 'villain', 'rose', 'based on comic', 'partner', 'robin', 'broken neck', 'psychologist', 'criminal', 'district attorney', 'millionaire', 'super power', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'disfigurement', 'father figure', 'good versus evil']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell""]",Joel Schumacher
30,Belle de Jour,Drama,649,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",https://image.tmdb.org/t/p/w500/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,1967-05-24,101,0,0,"['adultery', 'prostitute', 'jealousy', 'dream', 'husband wife relationship', 'dual identity', 'double life', 'sexual frustration', 'brothel', ""women's sexual identity"", 'masochism', 'sexual exploration']","['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page', 'Pierre Clémenti']",Luis Buñuel
31,Crimson Tide,Drama|Thriller|War,8963,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",https://image.tmdb.org/t/p/w500/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg,1995-05-12,116,53000000,157387195,"['mutiny', 'submarine', 'missile', 'embassy', 'nuclear missile', 'battle for power', 'u.s. navy', 'terrorism', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar', 'nuclear submarine']","['Denzel Washington', 'Gene Hackman', 'Matt Craven', 'George Dzundza', 'Viggo Mortensen']",Tony Scott
32,Crumb,Documentary,26564,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",https://image.tmdb.org/t/p/w500/jHIiz59mnKuHov0PjSNsuYOcx5D.jpg,1994-09-10,120,0,3174695,"['underground', 'biography', 'art', 'brothers']","['Robert Crumb', 'Aline Kominsky', 'Charles Crumb', 'Maxon Crumb', 'Robert Hughes']",Terry Zwigoff
33,Desperado,Action|Romance|Thriller,8068,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",https://image.tmdb.org/t/p/w500/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg,1995-08-25,104,7000000,25400000,"['gunslinger', 'showdown', 'mexico', 'ambush', 'hitman', 'guitar', 'anti terror', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'book store']","['Antonio Banderas', 'Salma Hayek Pinault', 'Joaquim de Almeida', 'Steve Buscemi', 'Cheech Marin']",Robert Rodriguez
34,The Doom Generation,Comedy|Drama,13552,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",https://image.tmdb.org/t/p/w500/cRzRj2UBvIH8ryWhu5PNL2PzV7j.jpg,1995-10-27,83,800000,284785,"['friendship', 'california', 'nazi', 'nihilism', 'eroticism', 'blow job', 'controversy', 'punk rock', 'surrealism', 'severed head', 'drifter', 'on the road', 'cynical', 'threesome', 'shoplifting', 'polyamory', 'voyeur', 'crystal meth']","['Rose McGowan', 'James Duval', 'Johnathon Schaech', 'Cress Williams', 'Dustin Nguyen']",Gregg Araki
35,Free Willy 2: The Adventure Home,Adventure|Children|Drama,9073,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,https://image.tmdb.org/t/p/w500/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg,1995-07-19,95,31000000,30000000,"['whale', 'human animal relationship', 'killer whale']","['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson', 'August Schellenberg', 'Mary Kate Schellhardt']",Dwight H. Little
36,Mad Love,Drama|Romance,47608,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",https://image.tmdb.org/t/p/w500/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg,1995-05-26,95,0,15453274,"['high school', 'suicide attempt', 'college', 'road trip', 'teen angst', 'mental institution', 'teenage love', 'mental illness', 'troubled teen', 'woman director', 'teenage romance']","[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard', 'Richard Chaim', 'Robert Nadir']",Antonia Bird
37,Nadja,Drama,34574,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",https://image.tmdb.org/t/p/w500/sIZl6Oy5nn4kHKHamX50tSPF4Ob.jpg,1994-09-13,93,0,0,"['new york city', 'vampire']","['Elina Löwensohn', 'Suzy Amis', 'Galaxy Craze', 'Martin Donovan', 'Peter Fonda']",Michael Almereyda
38,The Net,Sci-Fi|Thriller,1642,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",https://image.tmdb.org/t/p/w500/dtupntUFMD5iXBo8HLfALt2ET4R.jpg,1995-07-28,114,22000000,110627965,"['california', 'assassin', 'mexico', 'computer program', 'computer virus', 'therapist', 'new identity', 'secret organization', 'vacation', 'on the run', 'conspiracy', 'hacking', 'internet chat', 'ill mother', 'loner', 'computer programming', 'hospitalization', 'analyst', 'cyber terrorism', 'computer programmer', 'single woman', 'surveillance state', 'internet surveillance', 'erased', 'computer disc', 'stolen life', 'santa monica pier', 'imposter']","['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Wendy Gazelle', 'Diane Baker']",Irwin Winkler
