gender,age,occupation,zip_code,user_id
F,25,4,55113,218
M,25,12,22903,219
F,25,0,94063,220
M,25,1,55116,221
M,25,17,28262,222
F,18,4,14850,223
M,25,7,11215,224
M,35,1,94518,225
M,35,20,90291,226
M,25,15,55455,227
M,18,10,04576,228
M,45,1,43210,229
M,25,3,55455,230
M,25,20,55408,231
F,45,20,37919-4204,232
M,35,7,39652,233
M,25,0,98153,234
M,25,5,55126,235
M,25,6,46835,236
F,50,7,90291,237
M,18,19,94618,238
M,50,17,55113,239
M,35,20,55121,240
F,18,4,53706,241
M,25,16,11576,242
M,50,7,19072,243
M,35,16,66046,244
F,18,4,60625,245
M,25,17,94404,246
M,18,17,72703,247
F,18,14,48126,248
M,35,16,11229,249
M,56,17,55105,250
M,25,12,94112,251
F,25,11,97370,252
M,35,17,49015,253
M,35,0,85310,254
M,45,16,55076,255
M,18,18,55113,256
M,25,7,55436,257
M,25,1,60615,258
M,18,19,98126,259
M,25,20,75801,260
F,25,1,68503,261
F,25,7,22304,262
M,35,0,20755,263
F,35,7,55116,264
M,35,11,75229,265
M,45,12,55001,266
F,18,12,29708,267
M,25,2,55408,268
M,50,14,55414,269
M,18,4,48202,270
M,18,0,80302,271
M,18,4,55427,272
M,18,4,55455,273
M,25,0,48162,274
M,45,16,01982,275
F,35,1,98126,276
M,45,18,60482,277
M,25,14,91214,278
M,50,7,19118,279
F,35,0,94117,280
M,25,17,94401,281
M,25,0,10003,282
M,25,12,91910,283
F,35,0,94109,284
M,25,1,54601,285
M,50,13,94706,286
F,25,12,97119,287
F,25,0,11801,288
F,25,20,94591,289
M,35,12,55110,290
M,35,7,19406,291
M,56,1,55337-4056,292
F,45,9,43147,293
M,18,0,80203,294
M,50,5,89432,295
M,18,2,97211,296
F,18,4,19010,297
M,25,12,97370,298
M,25,7,78664,299
M,18,4,61820,300
M,18,4,04901,301
M,25,7,20006,302
M,25,0,55414,303
F,18,0,55414,304
M,18,0,53051,305
M,50,16,90027,306
M,25,2,10025,307
M,25,4,16801,308
F,18,4,31207,309
M,18,4,31201,310
F,50,2,22207,311
F,18,4,02138,312
F,56,9,46911,313
F,56,1,55105,314
M,56,13,90740,315
M,35,7,38555,316
F,56,13,55104,317
F,50,6,33436,318
M,35,6,99516,319
M,18,4,55128,320
M,56,17,55117,321
M,45,12,53716,322
M,35,17,55106,323
F,50,3,55112,324
M,50,11,25302,325
M,35,18,55448,326
M,35,12,80401,327
M,35,7,02115,328
M,56,7,92065,329
M,25,7,55902,330
M,50,1,55109,331
M,35,2,55410,332
F,56,2,55113,333
M,35,18,55434,334
M,18,0,98765,335
M,18,19,80205,336
M,35,7,55116,337
M,50,7,80207,338
F,25,3,28001,339
F,56,13,92119,340
M,18,12,55076,341
F,35,3,55127,342
M,35,14,75034,343
M,25,12,94114,344
F,25,0,55110,345
F,56,1,55305,346
M,50,7,55110,347
M,1,10,08035,348
M,45,20,08035,349
M,18,4,55105,350
M,18,4,60115,351
F,35,7,92625,352
M,35,1,55117,353
M,18,3,55107,354
M,56,20,55101,355
M,18,0,98103,356
F,56,1,20815,357
M,25,17,55128,358
M,35,17,28208,359
F,25,14,94115,360
M,35,20,55407,361
M,18,10,55419,362
F,35,1,46815,363
F,18,4,02138,364
M,50,15,55126,365
M,50,12,55421,366
M,25,0,90293,367
M,35,1,55110,368
M,18,17,22304,369
M,18,4,02141,370
F,18,4,72227,371
F,25,2,55347,372
F,35,14,55346,373
M,25,2,55106,374
M,35,1,80026,375
M,25,17,55418,376
F,18,0,55105,377
F,35,1,54822,378
M,25,2,92024,379
M,35,17,89015,380
F,35,20,66205,381
F,25,7,78757,382
M,25,11,55075,383
M,25,6,68131,384
M,25,0,55408,385
F,35,7,55111,386
F,25,0,10021,387
M,25,6,68128,388
M,25,4,55405,389
M,45,11,22122,390
M,18,7,20037,391
M,35,17,55402,392
M,18,0,55013,393
M,18,5,55104,394
M,25,1,56187,395
M,35,17,22124,396
M,25,17,55454,397
F,35,6,55128,398
F,18,3,55422,399
M,18,0,55129,400
M,25,11,55427,401
M,18,4,02138,402
M,18,4,10128,403
M,56,1,13077,404
M,25,20,55105,405
M,18,17,89503,406
M,25,11,02143,407
M,18,12,55122,408
F,25,1,55417,409
F,45,1,43214,410
M,35,15,55117,411
M,25,11,55409,412
M,25,0,55317,413
F,35,0,55406,414
M,45,14,55076,415
F,25,0,50613,416
F,25,3,54016,417
M,18,3,55422,418
M,35,1,55406,419
F,45,3,55125,420
M,56,17,55104,421
M,18,4,55455,422
M,25,17,55112,423
M,25,12,55303,424
M,18,4,55455,425
M,35,12,55104,426
F,18,4,55455,427
M,18,0,54901,428
F,18,10,55306,429
M,18,10,55303,430
M,45,16,55306,431
M,50,6,55115,432
F,45,3,98155,433
M,25,7,55125,434
M,18,4,43023,435
M,35,17,55030,436
M,18,11,53705,437
M,35,14,55129,438
M,56,1,32940,439
M,35,1,55127,440
M,25,1,55105,441
M,25,3,55421,442
M,56,0,55108,443
M,45,12,55117,444
F,50,0,55042,445
F,45,11,55105,446
M,25,17,80123,447
M,25,7,85037,448
M,45,1,24523,449
M,56,13,54720,450
M,50,17,55117,451
M,18,4,55102,452
M,25,20,55092,453
F,35,2,55113,454
M,35,0,55105,455
M,18,4,54703,456
M,50,16,55405-2546,457
F,18,4,55105,458
M,45,18,55313,459
M,50,7,55075,460
M,18,16,55416,461
M,25,7,55105,462
F,18,4,55455,463
M,18,19,94523,464
M,25,5,55405,465
F,35,3,55075,466
F,1,10,55082,467
M,35,6,55122,468
F,1,10,55068,469
M,35,7,08904,470
M,35,0,55418,471
F,18,4,55112,472
M,25,17,92126,473
F,25,2,55421,474
M,35,0,55127,475
M,35,14,55410,476
M,50,16,55113,477
M,25,12,55042,478
F,18,4,55422,479
M,45,7,55115,480
M,25,14,55305,481
M,18,12,55105,482
F,1,10,55104,483
M,56,7,55042,484
M,56,0,91367,485
F,35,17,55082,486
M,25,12,55107,487
M,18,4,55455,488
M,1,10,55345,489
M,18,4,56043,490
M,25,12,55112,491
M,50,7,55016,492
F,35,0,17870,493
M,18,10,55421,494
M,18,4,55455,495
F,25,17,55412,496
M,35,17,55113,497
F,25,1,55108,498
F,18,2,55105,499
M,25,2,55372,500
M,35,6,55126,501
M,35,11,73120,502
M,25,2,17003,503
M,35,17,37815,504
M,25,16,55103-1006,505
F,25,0,55405,506
M,25,12,55418,507
M,25,2,55125,508
M,18,12,55109,509
F,45,4,15232,510
M,35,0,55379,511
M,25,0,55119,512
M,25,2,55113,513
M,25,1,55406,514
F,56,14,55033,515
F,25,14,55408,516
F,35,12,75240,517
F,35,14,55038,518
F,35,20,55104,519
M,56,7,55105,520
M,25,12,55124,521
M,50,7,55105,522
M,18,0,91320,523
M,35,6,19027,524
M,45,17,94806,525
F,25,2,11201,526
F,18,17,83843,527
M,35,12,92009,528
M,25,2,10019,529
F,18,14,22206,530
M,25,7,94301,531
M,25,12,27514,532
M,25,15,55902,533
M,35,6,95370,534
M,25,20,01267,535
M,45,14,07704,536
M,56,16,95407,537
M,25,2,55103,538
M,18,1,15213,539
F,18,4,5849574,540
M,18,4,78705,541
M,25,5,55057,542
M,35,12,94538,543
M,35,17,01890,544
F,25,0,37211,545
M,35,12,76109,546
F,35,16,96860,547
M,25,6,53217,548
M,45,8,21559,549
M,35,20,55116,550
M,50,18,23456,551
M,25,2,94131,552
M,25,12,94086,553
M,18,4,53213,554
F,25,9,37221,555
M,56,1,30030,556
M,35,20,55108,557
F,25,7,60422,558
M,45,15,81335,559
F,18,14,64060,560
M,35,20,48083,561
M,25,4,53703,562
M,45,1,49419,563
M,25,16,45242,564
M,25,17,92122,565
M,35,20,52570-9634,566
F,50,17,19716,567
F,18,4,97339,568
M,25,4,33314,569
M,50,5,95401,570
M,18,4,61801,571
F,35,2,98119,572
M,25,19,90214,573
M,25,12,92130,574
F,45,15,20910,575
M,35,0,02115,576
M,18,17,90064,577
M,25,5,32839,578
M,1,10,08534,579
M,50,14,73543,580
M,18,4,67042,581
F,25,0,48067,582
F,25,0,94403,583
M,18,1,53703,584
M,35,14,53092,585
M,25,20,92649,586
F,25,11,23220,587
M,18,2,90210,588
F,35,6,98032,589
M,25,0,76201,590
M,18,0,92103,591
F,50,1,91711,592
F,56,13,60076,593
M,25,7,10019,594
F,25,1,01950,595
M,35,12,80206,596
M,35,7,95476,597
M,50,6,53711,598
M,35,17,66209,599
F,18,20,06320,600
F,56,6,14612,601
F,25,6,32256,602
M,45,17,32256,603
F,18,4,44425,604
F,1,10,49507,605
M,25,0,43614,606
M,18,4,18011,607
M,25,7,10012,608
M,25,4,77025,609
M,35,0,20715,610
M,50,7,95020,611
M,35,20,10562,612
M,35,1,90024,613
M,50,17,32951,614
M,25,7,94115,615
F,25,7,92117,616
M,25,0,74105,617
F,18,1,94706,618
M,18,0,13210,619
M,18,4,93560,620
M,25,0,92612,621
M,25,17,60555,622
M,25,1,75207,623
F,35,12,44106,624
M,18,4,77005,625
M,50,2,97210,626
F,35,0,20715,627
F,1,10,48154,628
F,35,14,80525,629
M,35,17,28601,630
M,45,17,07649,631
M,25,17,94131,632
F,1,10,49512,633
M,56,17,33785,634
M,18,20,92055,635
M,35,12,97132,636
M,25,6,77584,637
M,45,17,85202,638
M,18,4,47406,639
F,35,0,55116,640
F,35,1,78155,641
M,25,2,23188,642
M,25,20,93704,643
M,35,20,11215,644
M,35,7,08505,645
M,35,12,85224,646
F,25,12,94131,647
M,25,4,80526,648
M,25,17,49445,649
M,35,7,20895,650
M,18,20,12222,651
M,56,13,92660,652
M,50,7,75023,653
F,25,2,92629,654
F,45,16,92106,655
F,50,13,34691,656
F,25,0,10021,657
F,25,0,28134,658
M,45,16,70507,659
M,45,1,13114,660
M,18,4,99163,661
F,25,7,12345,662
M,35,18,74601,663
M,18,2,13317,664
F,18,0,08540,665
M,25,18,98438,666
F,25,3,22042,667
M,25,17,30307,668
M,25,12,30303,669
M,18,4,61761,670
M,35,7,46845,671
M,25,20,10023,672
M,25,17,22042,673
M,25,20,02048,674
M,18,16,55129,675
M,50,2,94122,676
M,25,0,34952,677
M,35,16,29681,678
M,25,12,37013,679
M,35,7,30501,680
M,25,4,27510,681
M,25,4,27514,682
M,25,4,27510,683
M,25,4,27514,684
M,18,4,27514,685
F,25,7,14136,686
M,56,13,13407,687
F,50,0,48103,688
M,25,12,90717,689
M,35,11,96813,690
F,25,0,85207,691
M,35,12,98103,692
M,18,4,76401,693
F,18,1,04240,694
M,25,12,94114,695
F,50,6,97330,696
M,18,4,76401,697
M,18,0,73505,698
M,50,17,14650,699
F,18,4,01002,700
M,35,7,90808,701
F,56,1,44074,702
F,35,8,85712,703
M,25,4,48065,704
M,35,20,78664,705
M,35,7,17740,706
M,25,0,37042,707
M,18,0,92647,708
M,25,20,85207,709
M,25,18,80521,710
M,25,0,95136,711
M,35,7,79912,712
M,18,4,76013,713
M,18,0,53715,714
M,18,4,98188,715
M,25,11,90211,716
M,18,2,90211,717
M,1,0,75070,718
M,18,0,55129,719
F,35,9,97520,720
M,25,12,55106,721
M,25,12,98027,722
M,50,13,90266,723
M,56,11,08904,724
F,25,9,77449,725
M,35,11,94061,726
M,25,6,11598,727
M,35,12,85284,728
M,25,0,10580,729
M,45,3,55410,730
M,25,7,07030,731
M,35,16,30034,732
M,25,7,90078,733
M,25,14,04240,734
M,18,12,07070,735
M,1,19,53711,736
M,18,17,99205,737
M,35,12,55803,738
M,25,14,24551,739
M,25,5,44095,740
M,18,0,54758,741
F,1,2,60660,742
M,25,17,77007,743
M,1,10,90004,744
F,18,19,95019,745
M,18,4,98606,746
M,25,0,60098,747
M,35,18,56303,748
F,35,9,13066,749
F,25,17,97201,750
F,25,3,97401,751
M,1,10,42754,752
M,35,7,38024,753
F,35,0,94002,754
M,35,0,90064,755
M,25,12,97401,756
M,35,7,19518,757
F,56,3,89156,758
M,56,15,94114,759
M,18,7,99945,760
M,1,10,63041,761
M,18,10,02882,762
M,18,20,85296,763
M,25,17,74467,764
F,25,7,95128,765
M,25,12,45241,766
M,25,12,17067,767
M,45,17,02421,768
M,18,4,98499,769
F,50,1,75087,770
M,18,12,89118,771
M,25,6,48108,772
M,18,4,22903,773
M,1,17,56258,774
F,25,3,92627,775
M,18,19,87543,776
M,18,17,32694,777
M,25,0,60156,778
M,25,17,91776,779
M,18,4,95076,780
M,56,1,28223,781
M,25,4,53703,782
M,18,0,11040,783
M,18,19,29307,784
M,25,0,55987,785
M,18,4,77802,786
M,25,0,37601,787
M,18,1,67212,788
M,25,17,45694,789
M,35,7,27511,790
M,25,17,01002,791
F,35,14,37043,792
M,50,20,10543,793
F,35,14,19147,794
M,50,6,98237,795
F,50,7,20175,796
F,25,20,48464,797
F,25,5,98498,798
F,35,12,72032,799
F,25,20,95776,800
M,25,16,22801,801
M,18,4,67217,802
M,25,20,90032,803
M,35,12,37211,804
M,35,0,34990,805
M,18,4,89015,806
M,25,7,85226,807
M,25,17,70508,808
M,25,12,98006,809
M,50,0,94043,810
M,25,6,37930,811
M,18,4,70002,812
F,18,4,92612,813
M,25,4,37130,814
M,45,0,92108,815
M,18,4,41076,816
M,18,4,60107,817
M,35,7,60611,818
M,35,7,78759,819
M,18,2,14456,820
F,25,1,07666,821
M,25,0,92078,822
M,35,12,94530,823
M,56,1,39532,824
F,35,1,80210,825
M,45,2,55409,826
M,18,4,70817,827
M,1,19,53711,828
M,35,7,60657,829
F,45,0,20874,830
M,18,2,19464,831
M,35,7,46825,832
F,35,12,78640,833
M,56,0,94952,834
M,25,11,10023,835
M,56,7,08540,836
M,50,17,92661,837
M,25,0,98103,838
F,25,3,02828,839
F,50,14,92119,840
F,18,0,55102,841
M,25,7,49321,842
M,25,0,92121,843
F,18,0,20009,844
M,25,5,80209,845
F,25,7,80228,846
M,25,15,94121,847
M,25,3,75006,848
M,35,0,60640,849
M,18,4,75287,850
M,25,5,92105,851
M,25,17,55447,852
F,25,16,44092,853
F,18,2,72701,854
F,45,6,02453,855
M,35,17,11701,856
M,35,14,10013,857
M,25,12,10128,858
M,18,0,78237,859
M,25,7,37027,860
M,35,7,10019,861
M,25,7,62522,862
F,25,0,97205,863
M,35,1,91711,864
M,1,10,08820,865
M,45,12,95814,866
M,50,17,01702-7224,867
M,18,20,92026,868
F,25,1,02144,869
M,1,10,76013,870
M,50,1,20815,871
M,56,6,19027,872
M,45,15,26105,873
M,1,10,94707,874
M,25,4,43202,875
M,25,0,90631,876
M,18,2,01720,877
M,45,16,92018,878
M,35,17,94114,879
M,18,14,76401,880
M,18,2,01720,881
F,35,14,92673,882
M,1,10,49454,883
M,35,0,48105,884
F,56,0,14830,885
F,56,16,55345,886
F,1,10,08820,887
M,45,20,10024,888
M,18,4,92153,889
M,25,1,80202,890
M,35,0,76031,891
F,50,6,85016,892
M,18,4,31602,893
M,50,1,34683,894
M,18,15,94015,895
M,25,6,92130,896
M,25,7,77005,897
F,25,1,30605,898
F,56,13,90066,899
F,56,0,92027,900
M,56,0,45432,901
M,56,13,75165,902
M,35,20,92308,903
F,45,12,28655,904
M,1,10,71106,905
F,45,6,92117,906
F,50,1,92103,907
M,45,7,92831,908
F,50,0,98226,909
M,50,0,98226,910
F,35,2,91324,911
M,25,0,20744-6223,912
F,35,9,30338,913
M,25,7,72762,914
F,25,1,92084,915
M,50,6,92117,916
F,45,1,91901,917
F,35,1,92056,918
M,18,4,92173,919
M,25,17,92084,920
M,56,16,48009,921
M,25,7,37212,922
M,50,17,98642,923
F,35,3,48073,924
M,1,10,07869,925
F,25,20,91105,926
F,56,16,98199,927
M,25,15,53706,928
M,25,5,98380,929
F,56,1,06032,930
F,35,6,97838,931
M,45,1,49419,932
F,35,7,97401,933
M,35,14,60538,934
M,18,4,34567,935
M,25,15,60513,936
F,25,1,01060,937
F,25,20,20110-5616,938
M,1,10,76240,939
M,18,20,45387,940
F,50,6,85716,941
F,45,12,08033,942
M,35,0,91505,943
M,45,7,49345,944
M,35,7,48103-8929,945
M,18,0,21015,946
M,56,12,43056,947
M,50,17,96753,948
M,35,7,21044,949
M,45,2,10009,950
M,56,16,97478,951
M,50,20,97030,952
F,25,0,21030,953
F,50,7,94941,954
M,35,1,55104,955
M,35,1,29706,956
M,35,2,48116,957
M,50,11,44622,958
M,1,10,45244,959
M,18,10,10016,960
F,25,1,80020,961
M,25,0,48197,962
M,25,7,94123,963
M,56,7,10954,964
M,56,2,92262,965
F,18,0,43615,966
M,50,12,94530,967
F,25,11,19103,968
M,25,0,27615,969
M,25,12,43615,970
M,45,1,02138,971
F,25,1,80026,972
M,35,19,94930,973
M,35,0,98136,974
M,35,14,89113,975
M,25,2,80110,976
M,18,0,19116,977
M,1,10,48073,978
M,25,6,92014,979
M,25,20,02141,980
F,25,9,92064,981
F,25,16,99224,982
M,50,16,92129,983
M,25,4,32608,984
F,56,0,19004,985
F,35,17,48098,986
M,50,11,48823,987
M,50,0,20706,988
M,18,6,10004,989
F,25,9,48103,990
F,35,3,02780,991
M,25,0,45678,992
M,18,2,92109,993
F,18,4,96803,994
M,25,17,98102,995
M,1,19,15748,996
M,45,20,10019,997
M,25,15,62558,998
F,25,6,90027,999
M,25,4,90210,1000
M,50,11,07043,1001
M,25,2,19320,1002
M,25,3,95136,1003
M,35,11,08003,1004
M,18,4,53220,1005
M,50,12,01960,1006
M,35,3,77064,1007
M,50,7,48315,1008
M,25,0,10310,1009
M,25,8,92115,1010
F,35,1,30004,1011
M,56,13,02576,1012
F,45,17,03054,1013
M,35,3,11220,1014
M,56,16,60044,1015
M,35,0,30906,1016
M,18,4,95616,1017
M,35,1,60640,1018
M,18,20,93455,1019
M,35,0,94559,1020
M,25,3,00918,1021
M,56,13,92675,1022
F,35,1,74135,1023
M,25,16,34677,1024
F,45,0,19130,1025
M,18,4,77005,1026
F,45,7,03848,1027
M,25,0,20015,1028
M,25,7,97303,1029
M,35,16,19803,1030
M,50,16,19425,1031
M,25,5,60076,1032
F,35,1,82601,1033
M,18,2,15956,1034
M,35,7,28036,1035
M,45,7,02081,1036
F,56,15,20194,1037
F,35,1,02346,1038
M,25,11,76309,1039
M,45,2,94306,1040
M,35,5,92801,1041
F,50,11,87004,1042
M,25,20,72701,1043
F,1,10,77477,1044
M,56,18,53404-1230,1045
M,18,0,62225,1046
M,35,6,75225,1047
M,45,14,95002,1048
M,25,1,97302,1049
F,25,0,60513,1050
F,35,2,75214,1051
M,35,0,18360,1052
M,1,10,75040,1053
M,35,0,91505,1054
M,1,0,48133,1055
M,45,17,73069,1056
M,25,1,97321,1057
F,25,0,97213,1058
M,18,10,11235,1059
M,45,0,46060,1060
M,50,19,59457,1061
M,35,7,50265,1062
M,25,7,91344,1063
F,25,0,94402,1064
M,45,12,02151,1065
M,35,12,94402,1066
F,18,4,77581,1067
M,25,20,98105,1068
F,45,2,20036,1069
M,50,16,13045,1070
F,35,7,07601,1071
F,25,6,72211,1072
M,45,17,48073,1073
F,25,6,60660,1074
F,25,3,27606,1075
M,25,3,60660,1076
F,45,9,95661,1077
M,25,7,98115,1078
M,56,7,08854,1079
M,18,4,68144-2410,1080
M,45,7,48170,1081
M,56,0,27705,1082
M,1,19,03226,1083
M,25,7,34695,1084
M,18,4,98225,1085
M,25,16,08826,1086
F,1,10,98103,1087
M,35,6,37853,1088
M,25,7,94105,1089
M,18,5,345567,1090
F,18,4,49525,1091
M,50,14,60504,1092
F,18,0,92626,1093
F,56,6,08753,1094
M,1,10,80439,1095
M,18,17,92109,1096
M,35,7,94945,1097
M,25,17,77059,1098
M,25,0,60090,1099
M,35,1,06417,1100
M,18,1,55408,1101
F,45,7,60605,1102
M,35,11,10023,1103
M,35,6,48105,1104
M,18,4,90241,1105
F,50,1,02324,1106
M,56,1,93003,1107
M,18,10,45904,1108
F,56,6,77005,1109
F,50,16,44319,1110
M,18,6,19104,1111
M,18,4,97215,1112
F,18,9,75801,1113
F,25,1,60551,1114
M,25,15,92121,1115
M,18,14,10017,1116
M,50,13,02718,1117
M,35,1,90504,1118
M,18,4,95616,1119
M,56,7,78701,1120
M,56,14,02632,1121
M,50,0,91789,1122
M,25,2,60156,1123
F,18,4,53715,1124
M,56,16,13031,1125
M,25,0,11788,1126
M,25,1,72701,1127
M,35,17,22309,1128
M,18,7,60012,1129
M,56,13,12570,1130
M,18,12,98225,1131
M,18,2,90038,1132
M,18,20,19114,1133
M,50,13,98201,1134
F,35,7,90274,1135
M,18,4,13165,1136
M,18,12,12047,1137
M,25,1,93420-2852,1138
F,45,2,73069,1139
F,25,3,84770,1140
M,18,1,43623,1141
M,50,7,94024,1142
M,25,7,94025,1143
M,50,3,92103,1144
F,18,16,80260,1145
M,25,20,98101,1146
M,35,17,92618,1147
M,25,12,98103,1148
F,25,20,75226,1149
M,25,15,46805,1150
M,18,4,30328,1151
M,18,10,33024,1152
F,1,10,53545,1153
M,25,12,90278,1154
F,50,2,33334,1155
M,45,7,30253,1156
F,35,1,98026,1157
M,18,0,48314,1158
M,18,14,07017,1159
M,25,0,10025,1160
F,35,0,97213,1161
M,1,10,70448,1162
F,25,19,90020,1163
M,25,12,45014,1164
M,56,6,94030,1165
F,50,1,55126,1166
F,25,0,94109,1167
M,25,20,94402,1168
M,56,3,10023,1169
M,45,12,94114,1170
F,25,0,61801,1171
F,25,7,10019,1172
F,18,16,91780,1173
F,25,2,90020,1174
M,56,1,44256,1175
F,25,17,01453,1176
M,56,0,48186,1177
M,50,1,91030,1178
F,50,20,95503,1179
M,35,7,20716,1180
M,1,10,91326,1181
M,35,19,94598,1182
F,25,4,92354,1183
F,35,1,97374,1184
M,18,19,98502,1185
F,1,0,90210,1186
M,45,7,72212,1187
M,25,0,85712,1188
M,45,0,98031,1189
F,35,0,98117,1190
M,50,16,98103,1191
M,25,12,90712,1192
F,25,1,95617,1193
F,1,10,13907,1194
F,18,14,22203,1195
M,35,1,44077,1196
M,1,10,49544,1197
M,50,13,77459,1198
M,1,0,97222,1199
M,18,4,84112-2004,1200
M,35,12,97006,1201
F,25,1,06417,1202
M,25,7,95076,1203
F,56,0,46814,1204
F,50,7,33764,1205
M,50,0,43617,1206
M,25,0,12590,1207
M,35,7,94127,1208
M,25,17,27519,1209
M,18,4,10027,1210
F,50,1,60089,1211
M,50,0,91505,1212
M,56,13,94558,1213
M,35,17,23602,1214
M,25,2,90292,1215
M,25,12,94118,1216
M,56,15,13207,1217
M,25,7,12206,1218
M,1,10,48073,1219
M,18,0,19134,1220
M,35,0,52162,1221
M,25,2,60102,1222
M,50,13,02125,1223
M,45,7,61081,1224
M,18,20,07087,1225
M,50,1,90027,1226
M,25,1,94720,1227
F,25,4,48219,1228
M,25,11,95125,1229
M,25,12,60515,1230
F,18,4,43235,1231
F,45,20,94519,1232
M,18,4,91006,1233
F,25,7,94043,1234
F,25,1,48316,1235
M,18,4,32720,1236
F,35,20,11215,1237
F,25,20,50111,1238
F,18,14,02144,1239
M,1,10,11803,1240
F,35,0,10014,1241
M,35,15,92627,1242
